# TAILLE = 512
# nb.th.        seq      P:S::     P:S:1:    P:S:20:     P:D:1:    P:D:20:    PFJ:S::   PFJ:S:1:  PFJ:S:20:
       1      0.735      0.712      0.671      0.699      0.795      0.720      0.541      0.805      0.732
       2      0.715      0.513      0.464      0.474      0.471      0.462      0.476      0.487      0.476
       4      0.707      0.416      0.398      0.417      0.358      0.384      0.486      0.391      0.402
       8      0.687      0.393      0.360      0.320      0.350      0.355      0.460      0.355      0.354
      16      0.706      0.347      0.329      0.335      0.361      0.333      0.455      0.376      0.352
      32      0.768      0.340      0.325      0.326      0.378      0.331      0.447      0.391      0.322
      64      0.735      0.341      0.350      0.358      0.363      0.345      0.491      0.410      0.356
     128      0.775      0.343      0.367      0.353      0.411      0.382      0.498      0.439      0.417
     256      0.745      0.405      0.360      0.367      0.404      0.361      0.548      0.516      0.408
